Bronze,Silver,Gold,ID,Sex,Age,Height,Weight,Year,Medal,BMI,Host,Population,GDP_Per_Capita,Event,Name,Team,Sport
0.2,0.1,0.7,102089,0,20.0,192.0,72.0,2016,2,19.53125,0,31568179.0,11227.231378468485,Athletics Women's Triple Jump,Yulimar del Valle Rojas Rodrguez,Venezuela,Athletics
0.2,0.1,0.7,102089,0,20.0,192.0,72.0,2016,2,19.53125,0,31568179.0,11227.231378468485,Athletics Women's Triple Jump,Yulimar del Valle Rojas Rodrguez,Venezuela,Athletics
0.2,0.1,0.7,102089,0,20.0,192.0,72.0,2016,2,19.53125,0,31568179.0,11227.231378468485,Athletics Women's Triple Jump,Yulimar del Valle Rojas Rodrguez,Venezuela,Athletics
0.2,0.0,0.8,41060,1,27.0,180.0,70.0,2016,2,21.604938271604937,0,22728254.0,67864.68986246719,Badminton Men's Doubles,Goh V Shem,Malaysia,Badminton
0.3,0.2,0.5,118296,1,27.0,177.0,77.0,2016,2,24.577867151840145,0,1296075000.0,1508.6680978826616,Badminton Men's Doubles,Tan Wee Kiong,Malaysia,Badminton
0.4,0.1,0.5,32372,1,26.0,175.0,80.0,2016,0,26.12244897959184,0,65637239.0,40412.03361998853,Badminton Men's Doubles,Marcus John Ellis,Great Britain,Badminton
0.7,0.1,0.2,6174,1,22.0,194.0,88.0,2016,0,23.381868423849507,0,209137.0,3955.3653042164583,Badminton Men's Singles,Viktor Axelsen,Denmark,Badminton
0.7,0.1,0.2,6174,1,22.0,194.0,88.0,2016,0,23.381868423849507,0,209137.0,3955.3653042164583,Badminton Men's Singles,Viktor Axelsen,Denmark,Badminton
0.7,0.1,0.2,6174,1,22.0,194.0,88.0,2016,0,23.381868423849507,0,209137.0,3955.3653042164583,Badminton Men's Singles,Viktor Axelsen,Denmark,Badminton
0.0,0.05,0.95,19696,1,28.0,175.0,68.0,2016,2,22.20408163265306,0,6665000.0,25756.663778327784,Badminton Mixed Doubles,Chan Peng Soon,Malaysia,Badminton
0.0,0.7,0.3,1374,1,29.0,179.0,72.0,2016,1,22.47120876377142,0,138523285.0,533.8624114335685,Badminton Mixed Doubles,Tontowi Ahmad,Indonesia,Badminton
0.3,0.225,0.475,41058,0,27.0,166.0,56.0,2016,2,20.322252866889244,0,22728254.0,67864.68986246719,Badminton Mixed Doubles,Goh Liu Ying,Malaysia,Badminton
0.2,0.6,0.2,54529,0,26.0,172.0,59.0,2016,0,19.94321254732288,0,51245707.0,27608.247428711602,Badminton Women's Doubles,Jeong Gyeong-Eun,South Korea-1,Badminton
0.2,0.6,0.2,54529,0,26.0,172.0,59.0,2016,0,19.94321254732288,0,51245707.0,27608.247428711602,Badminton Women's Doubles,Jeong Gyeong-Eun,South Korea-1,Badminton
0.9,0.1,0.0,109817,0,21.0,173.0,70.0,2016,0,23.38868655818771,0,51245707.0,27608.247428711602,Badminton Women's Doubles,Shin Seung-Chan,South Korea-1,Badminton
0.1,0.3,0.6,110974,0,21.0,179.0,65.0,2016,2,20.286507911738084,0,1324171354.0,1717.4738780298928,Badminton Women's Singles,"Pusarla Venkata ""P. V."" Sindhu",India,Badminton
0.0,0.8,0.2,75045,0,23.0,172.0,65.0,2016,1,21.97133585722012,0,46443959.0,26616.75779655097,Badminton Women's Singles,Carolina Mara Marn Marn,Spain,Badminton
0.8,0.2,0.0,88526,0,21.0,156.0,51.0,2016,0,20.956607495069036,0,126994511.0,38972.340639146816,Badminton Women's Singles,Nozomi Okuhara,Japan,Badminton
0.0,0.0,1.0,75202,1,28.0,199.0,96.0,2016,2,24.24181207545264,0,7057412.0,5426.198278872465,Basketball Men's Basketball,Stefan Markovi,Serbia,Basketball
0.0,1.0,0.0,7956,1,24.0,203.0,102.0,2016,1,24.75187459050208,0,323127513.0,57588.538070583025,Basketball Men's Basketball,Harrison Bryce Jordan Barnes,United States,Basketball
1.0,0.0,0.0,576,1,23.0,198.0,93.0,2016,0,23.72206917661463,0,46443959.0,26616.75779655097,Basketball Men's Basketball,"Alejandro ""lex"" Abrines Redondo",Spain,Basketball
0.1,0.0,0.9,40243,0,24.0,191.0,78.0,2016,2,21.380992845590857,0,46443959.0,26616.75779655097,Basketball Women's Basketball,Laura Gil Collado,Spain,Basketball
0.1,0.9,0.0,42994,0,25.0,203.0,94.0,2016,1,22.8105510932078,0,323127513.0,57588.538070583025,Basketball Women's Basketball,Brittney Yevette Griner,United States,Basketball
1.0,0.0,0.0,56046,0,26.0,179.0,72.0,2016,0,22.47120876377142,0,7057412.0,5426.198278872465,Basketball Women's Basketball,Nevena Jovanovi,Serbia,Basketball
0.0,0.0,1.0,72425,1,25.0,183.0,77.0,2016,2,22.99262444384723,0,60600590.0,30668.981428999723,Beach Volleyball Men's Beach Volleyball,Daniele Lupo,Italy,Beach Volleyball
0.3,0.5,0.2,107078,1,29.0,185.0,87.0,2016,1,25.4200146092038,1,207652865.0,8639.365743445373,Beach Volleyball Men's Beach Volleyball,Bruno Oscar Schmidt,Brazil-1,Beach Volleyball
0.8,0.0,0.2,15446,1,26.0,198.0,88.0,2016,0,22.44668911335578,0,10709973.0,48424.575596314724,Beach Volleyball Men's Beach Volleyball,Alexander Brouwer,Netherlands-1,Beach Volleyball
0.1,0.2,0.7,7716,0,29.0,178.0,67.0,2016,2,21.146319909102385,1,207652865.0,8639.365743445373,Beach Volleyball Women's Beach Volleyball,Brbara Seixas de Freitas,Brazil-1,Beach Volleyball
0.0,1.0,0.0,128079,0,25.0,184.0,75.0,2016,1,22.152646502835537,0,3283400.0,13855.477762191642,Beach Volleyball Women's Beach Volleyball,Kira Walkenhorst,Germany-1,Beach Volleyball
0.2,0.2,0.6,9307,0,33.0,182.0,70.0,2016,2,21.132713440405748,1,207652865.0,8639.365743445373,Beach Volleyball Women's Beach Volleyball,gatha Bednarczuk Rippel,Brazil-1,Beach Volleyball
0.3,0.16666666666666666,0.5333333333333333,115113,1,19.0,173.0,56.0,2016,2,18.710949246550168,0,323127513.0,57588.538070583025,Boxing Men's Bantamweight,Shakur Stevenson,United States,Boxing
0.4,0.6,0.0,1647,1,21.0,165.0,56.0,2016,0,20.569329660238758,0,31848200.0,2117.7444302576096,Boxing Men's Bantamweight,Murodzhon Kakharovich Akhmadaliyev,Uzbekistan,Boxing
0.7,0.1,0.2,86217,1,26.0,165.0,56.0,2016,0,20.569329660238758,0,144342396.0,8759.03611775209,Boxing Men's Bantamweight,Vladimir Olegovich Nikitin,Russia,Boxing
0.1,0.8,0.1,22623,1,27.0,171.0,57.0,2016,1,19.493177387914237,1,207652865.0,8639.365743445373,Boxing Men's Featherweight,Robson Donato Conceio,Brazil,Boxing
0.1,0.8,0.1,22623,1,27.0,171.0,57.0,2016,1,19.493177387914237,1,207652865.0,8639.365743445373,Boxing Men's Featherweight,Robson Donato Conceio,Brazil,Boxing
0.1,0.8,0.1,22623,1,27.0,171.0,57.0,2016,1,19.493177387914237,1,207652865.0,8639.365743445373,Boxing Men's Featherweight,Robson Donato Conceio,Brazil,Boxing
0.2,0.2,0.6,50565,1,23.0,168.0,52.0,2016,0,18.42403628117914,0,1378665000.0,8117.267465431786,Boxing Men's Flyweight,Hu Jianguan,China,Boxing
0.2,0.8,0.0,135205,1,23.0,169.0,52.0,2016,1,18.20664542558034,0,31848200.0,2117.7444302576096,Boxing Men's Flyweight,Shakhobiddin Shokirovich Zoirov,Uzbekistan,Boxing
0.8,0.1,0.1,35443,1,19.0,168.0,52.0,2016,0,18.42403628117914,0,31568179.0,954.8590895460427,Boxing Men's Flyweight,Yoel Segundo Finol Rivas,Venezuela,Boxing
0.4,0.3,0.3,69163,1,28.0,185.0,91.0,2016,2,26.588750913075238,0,17797032.0,7714.841843760241,Boxing Men's Heavyweight,Vasily Alekseyevich Levit,Kazakhstan,Boxing
0.15,0.55,0.3,120511,1,25.0,196.0,91.0,2016,1,23.688046647230323,0,144342396.0,8759.03611775209,Boxing Men's Heavyweight,Yevgeny Andreyevich Tishchenko,Russia,Boxing
0.9,0.0,0.1,122563,1,24.0,186.0,91.0,2016,0,26.303618915481557,0,31848200.0,2117.7444302576096,Boxing Men's Heavyweight,Rustam Tulaganov,Uzbekistan,Boxing
0.0,0.4,0.6,75850,1,24.0,165.0,49.0,2016,2,17.99816345270891,0,48653419.0,5813.6945194576165,Boxing Men's Light-Flyweight,Yurberjen Herney Martnez Rivas,Colombia,Boxing
0.4,0.4,0.2,30884,1,23.0,156.0,49.0,2016,1,20.134779750164363,0,31848200.0,2117.7444302576096,Boxing Men's Light-Flyweight,Hasanboy Dusmatov,Uzbekistan,Boxing
0.7,0.2,0.1,5023,1,19.0,152.0,49.0,2016,0,21.208448753462605,0,11475982.0,7961.845879507305,Boxing Men's Light-Flyweight,Joahnys Oscar Argilagos Prez,Cuba,Boxing
0.5,0.0,0.5,15967,1,23.0,185.0,81.0,2016,0,23.66691015339664,0,65637239.0,40412.03361998853,Boxing Men's Light-Heavyweight,Joshua Buatsi,Great Britain,Boxing
0.3,0.6,0.1,65585,1,26.0,182.0,81.0,2016,1,24.45356840961236,0,11475982.0,7961.845879507305,Boxing Men's Light-Heavyweight,Julio Csar La Cruz Peraza,Cuba,Boxing
0.8,0.0,0.2,8672,1,27.0,185.0,81.0,2016,0,23.66691015339664,0,66896109.0,36870.21913445626,Boxing Men's Light-Heavyweight,Mathieu Albert Daniel Bauderlique,France,Boxing
0.4,0.0,0.6,113381,1,31.0,185.0,64.0,2016,2,18.699780861943022,0,9762274.0,3880.7387308955604,Boxing Men's Light-Welterweight,Lorenzo Sotomayor Collazo,Azerbaijan,Boxing
0.2,0.7,0.1,30615,1,24.0,174.0,64.0,2016,0,21.13885585942661,0,144342396.0,8759.03611775209,Boxing Men's Light-Welterweight,Vitaly Vladimirovich Dunaytsev,Russia,Boxing
0.5,0.2,0.3,46344,1,25.0,172.0,64.0,2016,0,21.63331530557058,0,2881922.0,3684.8048103264896,Boxing Men's Light-Welterweight,Artem Harutyunyan,Germany,Boxing
0.4,0.2,0.4,90122,1,21.0,174.0,60.0,2016,2,19.817677368212443,0,66896109.0,36870.21913445626,Boxing Men's Lightweight,Sofiane Oumiha,France,Boxing
0.2,0.7,0.1,39193,1,25.0,169.0,64.0,2016,1,22.40817898532965,0,31848200.0,2117.7444302576096,Boxing Men's Lightweight,Fazliddin Khasanbayevich Gaybnazarov,Uzbekistan,Boxing
0.6,0.3,0.1,29508,1,28.0,170.0,60.0,2016,0,20.761245674740486,0,26895000.0,18864.26291809831,Boxing Men's Lightweight,Dorjnyambuugiin Otgondalai,Mongolia,Boxing
0.2,0.0,0.8,78441,1,20.0,177.0,75.0,2016,2,23.93948099205209,0,31848200.0,2117.7444302576096,Boxing Men's Middleweight,Bektemir Ruzmatzhonovich Melikuziyev,Uzbekistan,Boxing
0.2,0.7,0.1,71328,1,23.0,178.0,75.0,2016,1,23.671253629592226,0,11475982.0,7961.845879507305,Boxing Men's Middleweight,Arlen Lpez Cardona,Cuba,Boxing
0.8,0.1,0.1,104327,1,23.0,180.0,75.0,2016,0,23.148148148148145,0,9762274.0,3880.7387308955604,Boxing Men's Middleweight,Kamran ahsuvarl,Azerbaijan,Boxing
0.4,0.1,0.5,133031,1,24.0,200.0,105.0,2016,1,26.25,0,66896109.0,36870.21913445626,Boxing Men's Super-Heavyweight,Tony Victor James Yoka,France,Boxing
0.0,0.7,0.3,56073,1,30.0,197.0,108.0,2016,2,27.82859645958412,0,65637239.0,40412.03361998853,Boxing Men's Super-Heavyweight,"Joseph ""Joe"" Joyce",Great Britain,Boxing
0.7,0.2,0.1,50473,1,24.0,198.0,101.0,2016,0,25.762677277828796,0,5373361.0,5177.748864250074,Boxing Men's Super-Heavyweight,Filip Hrgovi,Croatia,Boxing
0.2,0.1,0.7,40641,1,23.0,174.0,69.0,2016,2,22.79032897344431,0,31848200.0,2117.7444302576096,Boxing Men's Welterweight,Shakhram Dzhamshedovich Giyasov,Uzbekistan,Boxing
0.7,0.1,0.2,21700,1,25.0,179.0,69.0,2016,0,21.53490839861428,0,66896109.0,36870.21913445626,Boxing Men's Welterweight,Souleymane Diop Cissokho,France,Boxing
0.9,0.0,0.1,98057,1,23.0,180.0,69.0,2016,0,21.29629629629629,0,35276786.0,2892.77556054736,Boxing Men's Welterweight,Mohammed Rabii,Morocco,Boxing
0.3,0.2,0.5,90133,0,34.0,158.0,51.0,2016,2,20.429418362441915,0,66896109.0,36870.21913445626,Boxing Women's Flyweight,Sarah Ourahmoune,France,Boxing
0.3,0.2,0.5,90133,0,34.0,158.0,51.0,2016,2,20.429418362441915,0,66896109.0,36870.21913445626,Boxing Women's Flyweight,Sarah Ourahmoune,France,Boxing
0.6,0.1,0.3,123925,0,27.0,160.0,50.0,2016,0,19.53125,0,48653419.0,5813.6945194576165,Boxing Women's Flyweight,Ingrit Lorena Valencia Victoria,Colombia,Boxing
0.13333333333333333,0.16666666666666666,0.7,132989,0,25.0,167.0,60.0,2016,2,21.513858510523864,0,1378665000.0,8117.267465431786,Boxing Women's Lightweight,Yin Junhua,China,Boxing
0.0,0.8,0.2,82474,0,23.0,168.0,60.0,2016,1,21.258503401360542,0,66896109.0,36870.21913445626,Boxing Women's Lightweight,Estelle Mossely,France,Boxing
0.8,0.1,0.1,9823,0,23.0,173.0,60.0,2016,0,20.04744562130375,0,144342396.0,8759.03611775209,Boxing Women's Lightweight,Anastasiya Yevgenyevna Belyakova,Russia,Boxing
0.2,0.0,0.8,36182,0,28.0,180.0,75.0,2016,2,23.148148148148145,0,49449403.0,1919.266717705585,Boxing Women's Middleweight,Nouchka Fontijn,Netherlands,Boxing
0.9,0.1,0.0,69466,0,26.0,180.0,75.0,2016,0,23.148148148148145,0,1378665000.0,8117.267465431786,Boxing Women's Middleweight,Li Qian,China,Boxing
0.9,0.1,0.0,69466,0,26.0,180.0,75.0,2016,0,23.148148148148145,0,1378665000.0,8117.267465431786,Boxing Women's Middleweight,Li Qian,China,Boxing
0.2,0.4,0.4,110508,1,25.0,175.0,78.0,2016,2,25.46938775510204,1,207652865.0,8639.365743445373,"Canoeing Men's Canadian Doubles, 1,000 metres",Erlon de Souza Silva,Brazil,Canoeing
0.0,0.9,0.1,125110,1,24.0,188.0,88.0,2016,1,24.898143956541425,0,10421137.0,35589.68911684018,"Canoeing Men's Canadian Doubles, 1,000 metres",Jan Vandrey,Germany,Canoeing
0.9,0.0,0.1,80332,1,21.0,187.0,85.0,2016,0,24.307243558580453,0,45004645.0,2185.72803066435,"Canoeing Men's Canadian Doubles, 1,000 metres",Taras Viktorovych Mishchuk,Ukraine,Canoeing
0.6,0.0,0.4,61076,1,28.0,171.0,65.0,2016,0,22.229061933586404,0,66896109.0,36870.21913445626,"Canoeing Men's Canadian Doubles, Slalom",Gauthier Klauss,France,Canoeing
0.0,0.8,0.2,111586,1,33.0,189.0,80.0,2016,1,22.395789591556788,0,5428704.0,16529.54096679536,"Canoeing Men's Canadian Doubles, Slalom",Ladislav kantr,Slovakia,Canoeing
0.7,0.1,0.2,92554,1,28.0,175.0,75.0,2016,0,24.489795918367346,0,66896109.0,36870.21913445626,"Canoeing Men's Canadian Doubles, Slalom",Matthieu Patrick Franois Peche,France,Canoeing
0.7,0.0,0.3,110034,1,29.0,185.0,95.0,2016,0,27.757487216946675,0,144342396.0,8759.03611775209,"Canoeing Men's Canadian Singles, 1,000 metres",Ilya Anatolyevich Shtokalov,Russia,Canoeing
0.7,0.0,0.3,110034,1,29.0,185.0,95.0,2016,0,27.757487216946675,0,144342396.0,8759.03611775209,"Canoeing Men's Canadian Singles, 1,000 metres",Ilya Anatolyevich Shtokalov,Russia,Canoeing
0.7,0.0,0.3,110034,1,29.0,185.0,95.0,2016,0,27.757487216946675,0,144342396.0,8759.03611775209,"Canoeing Men's Canadian Singles, 1,000 metres",Ilya Anatolyevich Shtokalov,Russia,Canoeing
0.0,0.0,1.0,27528,1,32.0,193.0,93.0,2016,2,24.967113211092915,0,9762274.0,3880.7387308955604,"Canoeing Men's Canadian Singles, 200 metres",Valentin Demyanenko,Azerbaijan,Canoeing
0.0,0.0,1.0,27528,1,32.0,193.0,93.0,2016,2,24.967113211092915,0,9762274.0,3880.7387308955604,"Canoeing Men's Canadian Singles, 200 metres",Valentin Demyanenko,Azerbaijan,Canoeing
0.2,0.0,0.8,97845,1,22.0,175.0,85.0,2016,0,27.755102040816325,1,207652865.0,8639.365743445373,"Canoeing Men's Canadian Singles, 200 metres",Isaquias Queiroz dos Santos,Brazil,Canoeing
0.1,0.2,0.7,10259,1,28.0,196.0,83.0,2016,2,21.60558100791337,0,5428704.0,16529.54096679536,"Canoeing Men's Canadian Singles, Slalom",Matej Beu,Slovakia,Canoeing
0.0,0.6,0.4,38795,1,29.0,181.0,76.0,2016,1,23.198315069747565,0,66896109.0,36870.21913445626,"Canoeing Men's Canadian Singles, Slalom",Denis Gargaud Chanut,France,Canoeing
0.8,0.0,0.2,45559,1,29.0,175.0,70.0,2016,0,22.857142857142858,0,126994511.0,38972.340639146816,"Canoeing Men's Canadian Singles, Slalom",Takuya Haneda,Japan,Canoeing
0.4,0.4,0.2,118202,1,27.0,176.0,80.0,2016,0,25.826446280991732,0,24127159.0,49896.68110092457,"Canoeing Men's Kayak Doubles, 1,000 metres",Lachlan Tame,Australia,Canoeing
0.0,1.0,0.0,99971,1,22.0,186.0,90.0,2016,1,26.01456815816857,0,66896109.0,36870.21913445626,"Canoeing Men's Kayak Doubles, 1,000 metres",Max Rendschmidt,Germany,Canoeing
0.4,0.4,0.2,118202,1,27.0,176.0,80.0,2016,0,25.826446280991732,0,24127159.0,49896.68110092457,"Canoeing Men's Kayak Doubles, 1,000 metres",Lachlan Tame,Australia,Canoeing
0.5,0.2,0.3,66534,1,30.0,178.0,89.0,2016,0,28.08988764044944,0,2872298.0,14912.686542793159,"Canoeing Men's Kayak Doubles, 200 metres",Aurimas Lankas,Lithuania,Canoeing
0.1,0.9,0.0,121200,1,24.0,188.0,90.0,2016,1,25.46401086464464,0,46443959.0,26616.75779655097,"Canoeing Men's Kayak Doubles, 200 metres",Cristian Isaac Toro Carballo,Spain,Canoeing
0.8,0.1,0.1,98590,1,30.0,184.0,90.0,2016,0,26.583175803402646,0,2872298.0,14912.686542793159,"Canoeing Men's Kayak Doubles, 200 metres",Edvinas Ramanauskas,Lithuania,Canoeing
0.0,0.2,0.8,83934,1,20.0,189.0,90.0,2016,2,25.195263290501387,0,5428704.0,16529.54096679536,"Canoeing Men's Kayak Fours, 1,000 metres",Denis Myk,Slovakia,Canoeing
0.0,1.0,0.0,43150,1,26.0,182.0,85.0,2016,1,25.661152034778407,0,55718260.0,4019.795861131114,"Canoeing Men's Kayak Fours, 1,000 metres",Marcus Gro,Germany,Canoeing
0.2,0.1,0.7,70331,1,21.0,199.0,95.0,2016,2,23.989293199666676,0,5428704.0,16529.54096679536,"Canoeing Men's Kayak Fours, 1,000 metres",Tibor Linka,Slovakia,Canoeing
0.1,0.3,0.6,120935,1,26.0,174.0,80.0,2016,2,26.42356982428326,0,7057412.0,5426.198278872465,"Canoeing Men's Kayak Singles, 1,000 metres",Marko Tomievi,Serbia,Canoeing
0.0,1.0,0.0,128355,1,21.0,184.0,82.0,2016,1,24.22022684310019,0,46443959.0,26616.75779655097,"Canoeing Men's Kayak Singles, 1,000 metres",Marcus Cooper Walz,Spain,Canoeing
0.5,0.3,0.2,4447,1,28.0,192.0,95.0,2016,0,25.77039930555556,0,144342396.0,8759.03611775209,"Canoeing Men's Kayak Singles, 1,000 metres",Roman Sergeyevich Anoshkin,Russia,Canoeing
0.1,0.1,0.8,9089,1,34.0,191.0,94.0,2016,2,25.766837531865903,0,66896109.0,36870.21913445626,"Canoeing Men's Kayak Singles, 200 metres",Maxime Eugne Ren Beaumont,France,Canoeing
0.1,0.1,0.8,9089,1,34.0,191.0,94.0,2016,2,25.766837531865903,0,66896109.0,36870.21913445626,"Canoeing Men's Kayak Singles, 200 metres",Maxime Eugne Ren Beaumont,France,Canoeing
0.1,0.1,0.8,9089,1,34.0,191.0,94.0,2016,2,25.766837531865903,0,66896109.0,36870.21913445626,"Canoeing Men's Kayak Singles, 200 metres",Maxime Eugne Ren Beaumont,France,Canoeing
0.1,0.3,0.6,58113,1,32.0,177.0,70.0,2016,2,22.34351559258195,0,142849449.0,10674.987707365,"Canoeing Men's Kayak Singles, Slalom",Peter Kauzer,Slovenia,Canoeing
0.1,0.8,0.1,21865,1,23.0,182.0,76.0,2016,1,22.94408887815481,0,65637239.0,40412.03361998853,"Canoeing Men's Kayak Singles, Slalom","Joseph ""Joe"" Clarke",Great Britain,Canoeing
0.8,0.0,0.2,97262,1,23.0,173.0,69.0,2016,0,23.054562464499316,0,10561633.0,18483.716479771614,"Canoeing Men's Kayak Singles, Slalom",Ji Prskavec,Czech Republic,Canoeing
0.1,0.0,0.9,47900,0,24.0,167.0,70.0,2016,2,25.099501595611173,0,3816486.0,2662.1174915311713,"Canoeing Women's Kayak Fours, 500 metres",Sabrina Hering,Germany,Canoeing
0.0,0.6,0.4,24125,0,26.0,176.0,78.0,2016,1,25.180785123966945,0,9817958.0,12820.088196305347,"Canoeing Women's Kayak Fours, 500 metres",Tamara Csipes,Hungary,Canoeing
0.2,0.0,0.8,64037,0,23.0,178.0,70.0,2016,2,22.093170054286077,0,7565525.0,5678.386637822733,"Canoeing Women's Kayak Fours, 500 metres",Steffi Kriegerstein,Germany,Canoeing
0.2,0.1,0.7,128036,0,29.0,165.0,63.0,2016,2,23.1404958677686,0,37948016.0,12430.629601767552,"Canoeing Women's Kayak Singles, 200 metres",Marta Walczykiewicz,Poland,Canoeing
0.8,0.1,0.1,120513,0,24.0,181.0,67.0,2016,0,20.45114617990904,0,9507120.0,5025.405063877017,"Canoeing Women's Kayak Singles, 200 metres",Margarita Grigoryevna Tishkevich-Makhneva,Belarus,Canoeing
0.8,0.1,0.1,120513,0,24.0,181.0,67.0,2016,0,20.45114617990904,0,9507120.0,5025.405063877017,"Canoeing Women's Kayak Singles, 200 metres",Margarita Grigoryevna Tishkevich-Makhneva,Belarus,Canoeing
0.1,0.1,0.8,56113,0,20.0,169.0,70.0,2016,2,24.508945765204302,0,4490967.0,38146.71539174766,"Canoeing Women's Kayak Singles, 500 metres",Emma Aastrand Jrgensen,Denmark,Canoeing
0.1,0.1,0.8,56113,0,20.0,169.0,70.0,2016,2,24.508945765204302,0,4490967.0,38146.71539174766,"Canoeing Women's Kayak Singles, 500 metres",Emma Aastrand Jrgensen,Denmark,Canoeing
0.1,0.1,0.8,56113,0,20.0,169.0,70.0,2016,2,24.508945765204302,0,4490967.0,38146.71539174766,"Canoeing Women's Kayak Singles, 500 metres",Emma Aastrand Jrgensen,Denmark,Canoeing
0.4,0.0,0.6,55699,0,27.0,172.0,68.0,2016,2,22.985397512168745,0,4692700.0,40331.95910482274,"Canoeing Women's Kayak Singles, Slalom",Luuka Jones,New Zealand,Canoeing
0.4,0.0,0.6,55699,0,27.0,172.0,68.0,2016,2,22.985397512168745,0,4692700.0,40331.95910482274,"Canoeing Women's Kayak Singles, Slalom",Luuka Jones,New Zealand,Canoeing
0.4,0.0,0.6,55699,0,27.0,172.0,68.0,2016,2,22.985397512168745,0,4692700.0,40331.95910482274,"Canoeing Women's Kayak Singles, Slalom",Luuka Jones,New Zealand,Canoeing
0.2,0.2,0.6,93698,1,31.0,180.0,88.0,2016,0,27.160493827160494,0,66896109.0,36870.21913445626,"Cycling Men's 1,000 metres Time Trial",Franois Pervis,France,Cycling
0.2,0.2,0.6,93698,1,31.0,180.0,88.0,2016,0,27.160493827160494,0,66896109.0,36870.21913445626,"Cycling Men's 1,000 metres Time Trial",Franois Pervis,France,Cycling
0.2,0.2,0.6,93698,1,31.0,180.0,88.0,2016,0,27.160493827160494,0,66896109.0,36870.21913445626,"Cycling Men's 1,000 metres Time Trial",Franois Pervis,France,Cycling
0.1,0.0,0.9,124622,1,25.0,187.0,93.0,2016,2,26.59498412879979,0,36286425.0,42348.94546059788,Cycling Men's BMX,Jelle van Gorkom,Netherlands,Cycling
0.0,1.0,0.0,35194,1,23.0,183.0,88.0,2016,1,26.27728507868255,0,323127513.0,57588.538070583025,Cycling Men's BMX,Connor Evan Fields,United States,Cycling
0.2,0.3,0.5,98637,1,22.0,178.0,65.0,2016,0,20.515086478979924,0,48653419.0,5813.6945194576165,Cycling Men's BMX,Carlos Alberto Ramrez Yepes,Colombia,Cycling
0.0,0.2,0.8,16055,1,23.0,188.0,90.0,2016,2,25.46401086464464,0,54541493.0,6826.344825471998,Cycling Men's Keirin,Matthijs Bchli,Netherlands,Cycling
0.0,0.2,0.8,16055,1,23.0,188.0,90.0,2016,2,25.46401086464464,0,54541493.0,6826.344825471998,Cycling Men's Keirin,Matthijs Bchli,Netherlands,Cycling
0.0,0.2,0.8,16055,1,23.0,188.0,90.0,2016,2,25.46401086464464,0,54541493.0,6826.344825471998,Cycling Men's Keirin,Matthijs Bchli,Netherlands,Cycling
0.1,0.4,0.5,19155,1,31.0,175.0,70.0,2016,2,22.857142857142858,0,65637239.0,40412.03361998853,Cycling Men's Madison,Mark Simon Cavendish,Great Britain,Cycling
0.1,0.4,0.5,19155,1,31.0,175.0,70.0,2016,2,22.857142857142858,0,65637239.0,40412.03361998853,Cycling Men's Madison,Mark Simon Cavendish,Great Britain,Cycling
0.1,0.4,0.5,19155,1,31.0,175.0,70.0,2016,2,22.857142857142858,0,65637239.0,40412.03361998853,Cycling Men's Madison,Mark Simon Cavendish,Great Britain,Cycling
0.1,0.0,0.9,37463,1,31.0,183.0,69.0,2016,2,20.603780345785182,0,97826000.0,835.6572524841158,"Cycling Men's Mountainbike, Cross-Country",Jakob Diemer Fuglsang,Denmark,Cycling
0.3,0.1,0.6,22498,1,34.0,171.0,65.0,2016,0,22.229061933586404,0,46443959.0,26616.75779655097,"Cycling Men's Mountainbike, Cross-Country",Carlos Coloma Nicols,Spain,Cycling
0.3,0.1,0.6,22498,1,34.0,171.0,65.0,2016,0,22.229061933586404,0,46443959.0,26616.75779655097,"Cycling Men's Mountainbike, Cross-Country",Carlos Coloma Nicols,Spain,Cycling
0.2,0.2,0.6,124162,1,31.0,181.0,74.0,2016,1,22.587833094227893,0,11348159.0,41260.977551146825,"Cycling Men's Road Race, Individual",Greg Van Avermaet,Belgium,Cycling
0.4,0.3,0.3,73764,1,26.0,173.0,61.0,2016,0,20.381569714992143,0,37948016.0,12430.629601767552,"Cycling Men's Road Race, Individual",Rafa Majka,Poland,Cycling
0.5,0.0,0.5,30601,1,25.0,186.0,70.0,2016,2,20.23355301190889,0,45271947.0,3104.65829575449,"Cycling Men's Road Race, Individual",Tom Dumoulin,Netherlands,Cycling
0.1,0.1,0.8,25782,1,27.0,185.0,93.0,2016,2,27.173119065010955,0,4692700.0,40331.95910482274,Cycling Men's Sprint,Edward James Eddie Dawkins,New Zealand,Cycling
0.2,0.45,0.35,111660,1,23.0,187.0,93.0,2016,2,26.59498412879979,0,65637239.0,40412.03361998853,Cycling Men's Sprint,Callum Skinner,Great Britain,Cycling
0.8,0.1,0.1,28903,1,30.0,177.0,90.0,2016,0,28.72737719046251,0,144342396.0,8759.03611775209,Cycling Men's Sprint,Denis Sergeyevich Dmitriyev,Russia,Cycling
0.0,0.03333333333333333,0.9666666666666666,107966,1,19.0,184.0,77.0,2016,2,22.743383742911156,0,24127159.0,49896.68110092457,"Cycling Men's Team Pursuit, 4,000 metres",Callum Scotson,Australia,Cycling
0.0,0.9,0.1,29722,1,23.0,181.0,73.0,2016,1,22.28259210646805,0,65637239.0,40412.03361998853,"Cycling Men's Team Pursuit, 4,000 metres",Owain Daniel John Doull,Great Britain,Cycling
